gene,exo_peaks,endo_peaks,exo_signal,endo_signal,enrichment
Nf2,0,2,0.0,0.43305883446416954,0.0
Prpf31,0,2,0.0,0.6486695461304256,0.0
Abhd11,1,3,0.3890577507598784,1.5167640481690228,0.2565051243333025
Mir1894,0,2,0.0,0.23048982247420766,0.0
Rnf181,0,1,0.0,0.044025157232704434,0.0
E2f3,2,3,1.4137268359643103,1.856563208402828,0.7614751975940087
Cbwd1,0,1,0.0,0.7556154537286612,0.0
Bcl10,0,1,0.0,0.5543575920934412,0.0
Rspry1,0,1,0.0,0.073674752920036,0.0
Dhfr,0,1,0.0,0.004492362982929048,0.0
Bbip1,0,2,0.0,0.8800346996313165,0.0
Rbbp4,0,1,0.0,0.1006289308176101,0.0
Myh14,0,3,0.0,1.4995832379863245,0.0
Dad1,0,1,0.0,0.15543575920934413,0.0
Ppp6r3,1,3,0.4161290322580645,2.425937292427415,0.17153330119332227
Agpat1,2,3,1.375144622021767,2.821268858588633,0.48742062204936265
P4hb,0,1,0.0,0.4249775381850854,0.0
BC024978,0,1,0.0,0.08176100628930819,0.0
Ntrk2,3,3,1.9984344870412134,2.826750479152516,0.706972370493897
Ubp1,0,1,0.0,0.048517520215633485,0.0
Zfp654,0,1,0.0,0.5390835579514826,0.0
Hs2st1,0,1,0.0,0.21103448275862072,0.0
Snd1,0,1,0.0,0.2740341419586703,0.0
Orc4,0,1,0.0,0.24977538185085355,0.0
M6pr,1,0,0.05167173252279633,0.0,0.05167173252279633
Ankhd1,2,3,1.5235905480929501,2.670994873114205,0.5704206187099654
Tspan14,0,1,0.0,0.29020664869721474,0.0
Hsd17b12,2,3,1.4604961270712815,2.377867233576601,0.6142042358161932
Tm2d2,0,3,0.0,1.267189634592092,0.0
Numb,0,1,0.0,0.5354896675651393,0.0
Drg1,1,2,0.9096774193548388,0.5002224494221892,0.9096774193548388
Bag1,2,4,1.0370036278066477,2.7051714499851425,0.3833411844607273
Rnf31,1,3,0.24193548387096772,1.2288953036723502,0.19687233171774973
Mbd5,0,1,0.0,0.24977538185085355,0.0
Fkbp15,0,1,0.0,0.011680143755615447,0.0
Ptpro,2,3,0.5989999019511717,2.4713306319990984,0.24237950770133546
Gabarap,0,1,0.0,0.32075471698113206,0.0
Ube2d3,0,1,0.0,0.07547169811320757,0.0
Eapp,0,3,0.0,2.7085193256855966,0.0
Adss,0,1,0.0,0.348607367475292,0.0
Coro1c,2,3,1.1534268065496618,2.838880247274316,0.40629639367743575
Kntc1,0,1,0.0,0.3953279424977539,0.0
Glrx5,2,2,0.637248749877439,0.7985859900238561,0.637248749877439
3110082I17Rik,1,1,0.1354838709677419,0.4285714285714286,0.1354838709677419
Prkcsh,0,2,0.0,0.578627505654181,0.0
Usp36,0,1,0.0,0.15274034141958673,0.0
Fnip2,0,1,0.0,0.21653189577717882,0.0
Nr1d2,1,2,0.019354838709677368,1.020467825386498,0.018966632977719607
Eps8,0,3,0.0,0.6027915593833895,0.0
Cecr2,0,2,0.0,0.5059590420423212,0.0
Cuedc1,2,3,0.8441317776252573,1.2455666316069594,0.677709049202937
Itsn1,3,3,2.6294473314377225,2.95793845612215,0.8889459231294898
H2afv,0,1,0.0,0.18149146451033243,0.0
Ncoa2,1,0,0.3221884498480243,0.0,0.3221884498480243
Plekho2,0,1,0.0,0.026954177897574157,0.0
Stk40,0,1,0.0,0.020215633423180585,0.0
Smpd3,0,1,0.0,0.40970350404312667,0.0
Dctd,0,1,0.0,0.11320754716981134,0.0
Mrpl34,0,3,0.0,1.5017244910091985,0.0
Pcdhga4,0,1,0.0,0.2340862422997947,0.0
Zfp143,1,3,0.3161094224924012,2.5216284677444647,0.12535923770528867
Gpr146,1,1,0.1354838709677419,0.4285714285714286,0.1354838709677419
Lhfpl2,1,1,0.12903225806451613,0.1393103448275862,0.12903225806451613
Prex1,0,1,0.0,0.119496855345912,0.0
0610009B22Rik,0,1,0.0,0.06289308176100634,0.0
Ccnk,0,3,0.0,1.8237218548194758,0.0
Mpc2,0,3,0.0,0.912675466646869,0.0
Creb1,0,1,0.0,0.13746630727762807,0.0
Rfx4,0,1,0.0,0.13347022587268995,0.0
C530044C16Rik,1,3,0.3870967741935484,2.162681999547169,0.1789892246176739
Dnajc18,0,2,0.0,0.2326498745236546,0.0
Cyld,0,1,0.0,0.06109613656783471,0.0
Hjurp,3,2,1.9062914664836423,0.8530334293769557,1.9062914664836423
Itpkb,0,1,0.0,0.07637017070979336,0.0
Rfxank,0,1,0.0,0.18238993710691823,0.0
Vac14,0,1,0.0,0.6397124887690926,0.0
Sertad2,2,3,1.8139621531522698,2.7304077314829747,0.6643557781632295
Laptm4a,1,0,0.09422492401215804,0.0,0.09422492401215804
Zfp317,0,1,0.0,0.28751123090745734,0.0
Tle4,2,3,1.6546622217864497,2.6849766920698452,0.6162668848014738
Isca2,0,2,0.0,0.4555094959258915,0.0
Tbc1d10b,2,3,1.570850083341504,2.913376579364751,0.5391853886887569
Slc1a3,0,3,0.0,0.3689742061450997,0.0
AA474408,1,3,0.3161094224924012,2.5216284677444647,0.12535923770528867
Lrrc8a,0,1,0.0,0.3000898472596586,0.0
Txn2,0,2,0.0,0.28826580029555504,0.0
Inpp5a,0,3,0.0,1.3825823119036516,0.0
Hspa8,0,2,0.0,0.6371025807850792,0.0
Arhgef26,1,0,0.37689969604863216,0.0,0.37689969604863216
Crb1,0,2,0.0,0.7610236391238344,0.0
Wipf2,1,3,0.5193548387096775,1.240338138186396,0.4187203656166458
Ell,0,3,0.0,0.9705394888026191,0.0
Ntmt1,0,3,0.0,1.6647058957500775,0.0
Lsamp,0,1,0.0,0.20395327942497754,0.0
Cnot8,0,1,0.0,0.5435759209344114,0.0
Capn2,1,2,0.21884498480243159,0.41549834247296835,0.21884498480243159
Dnaaf5,0,1,0.0,0.022461814914645172,0.0
Wbp2,0,1,0.0,0.23989218328840975,0.0
Ppp2r1a,0,1,0.0,0.1572327044025157,0.0
Gstm7,0,2,0.0,0.7380041515630325,0.0
Sox1,0,1,0.0,0.37735849056603776,0.0
Lars,0,2,0.0,0.6579979552002974,0.0
Cggbp1,0,1,0.0,0.5390835579514826,0.0
Dnpep,2,3,1.5085106382978724,2.7910139227944657,0.5404883959831688
Hivep3,0,1,0.0,0.17520215633423183,0.0
Rdm1,0,1,0.0,0.046896551724137904,0.0
Cnot3,2,3,1.3466026080988334,1.3063514868312343,1.0308118616416433
Usp22,2,3,1.344004314148446,2.634744596297743,0.5101080066876299
Tubb4b,2,3,1.1935778017452692,2.7981072872851973,0.42656613174518837
Nadk,0,2,0.0,0.7065898317687517,0.0
Cryzl1,3,3,2.6294473314377225,2.95793845612215,0.8889459231294898
Tmem60,1,3,0.20967741935483863,1.4539747472135294,0.14420980815290982
Rab18,0,1,0.0,0.29110512129380056,0.0
Dcbld2,1,0,0.2826747720364742,0.0,0.2826747720364742
Sacm1l,0,1,0.0,0.398921832884097,0.0
Alg14,1,1,0.3191489361702127,0.2413793103448276,0.3191489361702127
Tbcb,0,1,0.0,0.08625336927223724,0.0
Zbtb8os,0,1,0.0,0.1006289308176101,0.0
Ift140,2,3,0.2979998039023433,1.2399380847220915,0.24033442280235653
Rheb,0,3,0.0,1.519902837978665,0.0
Tsga10,0,1,0.0,0.18598382749326148,0.0
Chmp5,0,1,0.0,0.4564240790655885,0.0
Phlpp1,2,3,0.9547406608491027,1.842662466372486,0.5181310621302394
Birc6,0,1,0.0,0.6702605570530099,0.0
Klf10,0,1,0.0,0.39622641509433965,0.0
Mrps14,0,1,0.0,0.45013477088948783,0.0
Ncs1,1,3,0.331306990881459,2.205436729379074,0.1502228499544107
Gm3764,2,9,1.715021080498088,5.539755256395503,0.3095842688209269
Clic4,0,2,0.0,0.935129039253958,0.0
Shoc2,0,2,0.0,0.8800346996313165,0.0
Tjp2,1,3,0.07419354838709674,1.5944379895818404,0.046532727438685056
