annotation,count,percentage
"Exon (ENSMUST00000109102.3/75796, exon 2 of 7)",1,0.007411799584939223
"Exon (ENSMUST00000109191.1/241794, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000109255.2/106042, exon 7 of 8)",1,0.007411799584939223
"Exon (ENSMUST00000109255.2/106042, exon 8 of 8)",1,0.007411799584939223
"Exon (ENSMUST00000109969.2/ENSMUST00000109969.2, exon 1 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000110013.9/16453, exon 20 of 24)",1,0.007411799584939223
"Exon (ENSMUST00000110238.9/68750, exon 10 of 10)",1,0.007411799584939223
"Exon (ENSMUST00000110492.1/244418, exon 6 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000111752.9/13048, exon 18 of 23)",1,0.007411799584939223
"Exon (ENSMUST00000111808.10/18011, exon 4 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000112107.7/17318, exon 7 of 10)",1,0.007411799584939223
"Exon (ENSMUST00000112107.7/17318, exon 9 of 10)",1,0.007411799584939223
"Exon (ENSMUST00000112707.2/433926, exon 4 of 5)",1,0.007411799584939223
"Exon (ENSMUST00000113055.8/27428, exon 5 of 11)",1,0.007411799584939223
"Exon (ENSMUST00000113337.9/224826, exon 11 of 47)",1,0.007411799584939223
"Exon (ENSMUST00000113462.7/18190, exon 10 of 23)",1,0.007411799584939223
"Exon (ENSMUST00000113462.7/18190, exon 23 of 23)",1,0.007411799584939223
"Exon (ENSMUST00000113654.7/241296, exon 2 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000114308.9/14810, exon 4 of 20)",1,0.007411799584939223
"Exon (ENSMUST00000114694.8/56490, exon 15 of 15)",1,0.007411799584939223
"Exon (ENSMUST00000114942.8/227545, exon 4 of 4)",1,0.007411799584939223
"Exon (ENSMUST00000115217.7/242864, exon 3 of 5)",1,0.007411799584939223
"Exon (ENSMUST00000115516.10/22654, exon 6 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000115816.2/108013, exon 2 of 13)",1,0.007411799584939223
"Exon (ENSMUST00000117092.1/ENSMUST00000117092.1, exon 1 of 1)",1,0.007411799584939223
"Exon (ENSMUST00000117103.1/ENSMUST00000117103.1, exon 1 of 1)",1,0.007411799584939223
"Exon (ENSMUST00000117177.7/269695, exon 5 of 12)",1,0.007411799584939223
"Exon (ENSMUST00000117485.2/ENSMUST00000117485.2, exon 1 of 1)",1,0.007411799584939223
"Exon (ENSMUST00000117517.1/ENSMUST00000117517.1, exon 1 of 1)",1,0.007411799584939223
"Exon (ENSMUST00000117585.1/ENSMUST00000117585.1, exon 1 of 1)",1,0.007411799584939223
"Exon (ENSMUST00000117760.1/ENSMUST00000117760.1, exon 2 of 2)",1,0.007411799584939223
